MUNICIPIO_RESIDENCIA;URS;MICRO;MACRO;CodigoIBGE;Data;Grupo;Dose;Doses Aplicadas
Conceição da Aparecida;Alfenas;ALFENAS/MACHADO;SUL;311710;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição das Pedras;Pouso Alegre;ITAJUBÁ;SUL;311720;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição das Alagoas;Uberaba;UBERABA;TRIÂNGULO DO SUL;311730;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição de Ipanema;Manhuaçu;MANHUAÇU;LESTE DO SUL;311740;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição do Mato Dentro;Diamantina;SERRO;JEQUITINHONHA;311750;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição do Pará;Divinópolis;PARÁ DE MINAS;OESTE;311760;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição do Rio Verde;Varginha;SÃO LOURENÇO;SUL;311770;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conceição dos Ouros;Pouso Alegre;POUSO ALEGRE;SUL;311780;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cônego Marinho;Januária;JANUÁRIA;NORTE;311783;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Confins;Belo Horizonte;VESPASIANO;CENTRO;311787;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Congonhal;Pouso Alegre;POUSO ALEGRE;SUL;311790;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Congonhas;Barbacena;CONGONHAS;CENTRO SUL;311800;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Congonhas do Norte;Diamantina;DIAMANTINA;JEQUITINHONHA;311810;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conquista;Uberaba;UBERABA;TRIÂNGULO DO SUL;311820;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conselheiro Lafaiete;Barbacena;CONSELHEIRO LAFAIETE;CENTRO SUL;311830;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Conselheiro Pena;Governador Valadares;RESPLENDOR;LESTE;311840;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Consolação;Pouso Alegre;ITAJUBÁ;SUL;311850;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Contagem;Belo Horizonte;CONTAGEM;CENTRO;311860;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coqueiral;Varginha;TRÊS PONTAS;SUL;311870;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coração de Jesus;Montes Claros;CORAÇÃO DE JESUS;NORTE;311880;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cordisburgo;Sete Lagoas;SETE LAGOAS;CENTRO;311890;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cordislândia;Varginha;VARGINHA;SUL;311900;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Corinto;Sete Lagoas;CURVELO;CENTRO;311910;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coroaci;Governador Valadares;GOVERNADOR VALADARES;LESTE;311920;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coromandel;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;311930;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coronel Fabriciano;Coronel Fabriciano;CORONEL FABRICIANO/TIMÓTEO;VALE DO AÇO;311940;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coronel Murta;Diamantina;ARAÇUAÍ;JEQUITINHONHA;311950;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coronel Pacheco;Juiz de Fora;JUIZ DE FORA;SUDESTE;311960;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Coronel Xavier Chaves;São João Del Rei;SÃO JOÃO DEL REI;CENTRO SUL;311970;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Córrego Danta;Divinópolis;FORMIGA;OESTE;311980;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Córrego do Bom Jesus;Pouso Alegre;POUSO ALEGRE;SUL;311990;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Córrego Fundo;Divinópolis;FORMIGA;OESTE;311995;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Córrego Novo;Coronel Fabriciano;CORONEL FABRICIANO/TIMÓTEO;VALE DO AÇO;312000;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Couto de Magalhães de Minas;Diamantina;DIAMANTINA;JEQUITINHONHA;312010;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Crisólita;Teófilo Otoni;ÁGUAS FORMOSAS;NORDESTE;312015;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cristais;Divinópolis;CAMPO BELO;OESTE;312020;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cristália;Montes Claros;FRANCISCO SÁ;NORTE;312030;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cristiano Otoni;Barbacena;CONSELHEIRO LAFAIETE;CENTRO SUL;312040;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cristina;Varginha;SÃO LOURENÇO;SUL;312050;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Crucilândia;Belo Horizonte;BETIM;CENTRO;312060;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cruzeiro da Fortaleza;Patos de Minas;PATOS DE MINAS;NOROESTE;312070;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cruzília;Varginha;SÃO LOURENÇO;SUL;312080;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Cuparaque;Governador Valadares;RESPLENDOR;LESTE;312083;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Curral de Dentro;Montes Claros;TAIOBEIRAS;NORTE;312087;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Curvelo;Sete Lagoas;CURVELO;CENTRO;312090;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Datas;Diamantina;DIAMANTINA;JEQUITINHONHA;312100;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Delfim Moreira;Pouso Alegre;ITAJUBÁ;SUL;312110;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Delfinópolis;Passos;CÁSSIA;SUL;312120;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Delta;Uberaba;UBERABA;TRIÂNGULO DO SUL;312125;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Descoberto;Juiz de Fora;SÃO JOÃO NEPOMUCENO/BICAS;SUDESTE;312130;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Desterro de Entre Rios;São João Del Rei;CONGONHAS;CENTRO SUL;312140;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Desterro do Melo;Barbacena;BARBACENA;CENTRO SUL;312150;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Diamantina;Diamantina;DIAMANTINA;JEQUITINHONHA;312160;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Diogo de Vasconcelos;Ponte Nova;PONTE NOVA;LESTE DO SUL;312170;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dionísio;Coronel Fabriciano;CORONEL FABRICIANO/TIMÓTEO;VALE DO AÇO;312180;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divinésia;Ubá;UBÁ;SUDESTE;312190;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divino;Manhuaçu;CARANGOLA;SUDESTE;312200;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divino das Laranjeiras;Governador Valadares;MANTENA;LESTE;312210;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divinolândia de Minas;Governador Valadares;GOVERNADOR VALADARES;LESTE;312220;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divinópolis;Divinópolis;DIVINÓPOLIS;OESTE;312230;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divisa Alegre;Pedra Azul;PEDRA AZUL;NORDESTE;312235;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divisa Nova;Alfenas;ALFENAS/MACHADO;SUL;312240;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Divisópolis;Pedra Azul;PEDRA AZUL;NORDESTE;312245;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dom Bosco;Unaí;UNAÍ;NOROESTE;312247;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dom Cavati;Coronel Fabriciano;IPATINGA;VALE DO AÇO;312250;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dom Joaquim;Itabira;GUANHÃES;CENTRO;312260;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dom Silvério;Ponte Nova;PONTE NOVA;LESTE DO SUL;312270;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dom Viçoso;Varginha;SÃO LOURENÇO;SUL;312280;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dona Eusébia;Leopoldina;LEOPOLDINA/CATAGUASES;SUDESTE;312290;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dores de Campos;São João Del Rei;SÃO JOÃO DEL REI;CENTRO SUL;312300;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dores de Guanhães;Itabira;GUANHÃES;CENTRO;312310;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dores do Indaiá;Divinópolis;BOM DESPACHO;OESTE;312320;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Dores do Turvo;Ubá;UBÁ;SUDESTE;312330;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Doresópolis;Passos;PIUMHI;SUL;312340;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Douradoquara;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;312350;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Durandé;Manhuaçu;MANHUAÇU;LESTE DO SUL;312352;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Elói Mendes;Varginha;VARGINHA;SUL;312360;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Engenheiro Caldas;Governador Valadares;GOVERNADOR VALADARES;LESTE;312370;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Engenheiro Navarro;Montes Claros;BOCAIÚVA;NORTE;312380;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Entre Folhas;Coronel Fabriciano;CARATINGA;VALE DO AÇO;312385;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Entre Rios de Minas;São João Del Rei;CONGONHAS;CENTRO SUL;312390;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ervália;Ubá;UBÁ;SUDESTE;312400;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Esmeraldas;Belo Horizonte;BETIM;CENTRO;312410;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Espera Feliz;Manhuaçu;CARANGOLA;SUDESTE;312420;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Espinosa;Montes Claros;JANAÚBA/MONTE AZUL;NORTE;312430;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Espírito Santo do Dourado;Pouso Alegre;POUSO ALEGRE;SUL;312440;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Estiva;Pouso Alegre;POUSO ALEGRE;SUL;312450;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Estrela Dalva;Leopoldina;ALÉM PARAÍBA;SUDESTE;312460;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Estrela do Indaiá;Divinópolis;BOM DESPACHO;OESTE;312470;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Estrela do Sul;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;312480;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Eugenópolis;Ubá;MURIAÉ;SUDESTE;312490;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ewbank da Câmara;Juiz de Fora;JUIZ DE FORA;SUDESTE;312500;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Extrema;Pouso Alegre;POUSO ALEGRE;SUL;312510;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fama;Alfenas;ALFENAS/MACHADO;SUL;312520;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Faria Lemos;Manhuaçu;CARANGOLA;SUDESTE;312530;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Felício dos Santos;Diamantina;DIAMANTINA;JEQUITINHONHA;312540;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
São Gonçalo do Rio Preto;Diamantina;DIAMANTINA;JEQUITINHONHA;312550;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Felisburgo;Pedra Azul;ALMENARA/JACINTO;NORDESTE;312560;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Felixlândia;Sete Lagoas;CURVELO;CENTRO;312570;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fernandes Tourinho;Governador Valadares;GOVERNADOR VALADARES;LESTE;312580;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ferros;Itabira;ITABIRA;CENTRO;312590;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fervedouro;Manhuaçu;CARANGOLA;SUDESTE;312595;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Florestal;Belo Horizonte;BETIM;CENTRO;312600;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Formiga;Divinópolis;FORMIGA;OESTE;312610;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Formoso;Unaí;UNAÍ;NOROESTE;312620;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fortaleza de Minas;Passos;PASSOS;SUL;312630;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fortuna de Minas;Sete Lagoas;SETE LAGOAS;CENTRO;312640;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Francisco Badaró;Diamantina;ARAÇUAÍ;JEQUITINHONHA;312650;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Francisco Dumont;Montes Claros;BOCAIÚVA;NORTE;312660;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Francisco Sá;Montes Claros;FRANCISCO SÁ;NORTE;312670;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Franciscópolis;Teófilo Otoni;TEÓFILO OTONI/MALACACHETA;NORDESTE;312675;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Frei Gaspar;Teófilo Otoni;ITAMBACURI;NORDESTE;312680;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Frei Inocêncio;Governador Valadares;GOVERNADOR VALADARES;LESTE;312690;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Frei Lagonegro;Governador Valadares;PEÇANHA/SÃO JOÃO EVANGELISTA;LESTE;312695;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fronteira;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;312700;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fronteira dos Vales;Teófilo Otoni;ÁGUAS FORMOSAS;NORDESTE;312705;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Fruta de Leite;Montes Claros;SALINAS;NORTE;312707;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Frutal;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;312710;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Funilândia;Sete Lagoas;SETE LAGOAS;CENTRO;312720;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Galiléia;Governador Valadares;GOVERNADOR VALADARES;LESTE;312730;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Gameleiras;Montes Claros;JANAÚBA/MONTE AZUL;NORTE;312733;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Glaucilândia;Montes Claros;MONTES CLAROS;NORTE;312735;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Goiabeira;Governador Valadares;RESPLENDOR;LESTE;312737;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Goianá;Juiz de Fora;JUIZ DE FORA;SUDESTE;312738;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Gonçalves;Pouso Alegre;ITAJUBÁ;SUL;312740;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Gonzaga;Governador Valadares;GOVERNADOR VALADARES;LESTE;312750;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Gouveia;Diamantina;DIAMANTINA;JEQUITINHONHA;312760;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Governador Valadares;Governador Valadares;GOVERNADOR VALADARES;LESTE;312770;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Grão Mogol;Montes Claros;FRANCISCO SÁ;NORTE;312780;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Grupiara;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;312790;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guanhães;Itabira;GUANHÃES;CENTRO;312800;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;13
Guapé;Passos;PIUMHI;SUL;312810;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guaraciaba;Ponte Nova;PONTE NOVA;LESTE DO SUL;312820;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guaraciama;Montes Claros;BOCAIÚVA;NORTE;312825;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guaranésia;Alfenas;GUAXUPÉ;SUL;312830;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guarani;Ubá;UBÁ;SUDESTE;312840;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guarará;Juiz de Fora;SÃO JOÃO NEPOMUCENO/BICAS;SUDESTE;312850;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guarda-Mor;Patos de Minas;PATOS DE MINAS;NOROESTE;312860;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guaxupé;Alfenas;GUAXUPÉ;SUL;312870;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guidoval;Ubá;UBÁ;SUDESTE;312880;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guimarânia;Patos de Minas;PATOS DE MINAS;NOROESTE;312890;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Guiricema;Ubá;UBÁ;SUDESTE;312900;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Gurinhatã;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;312910;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Heliodora;Pouso Alegre;POUSO ALEGRE;SUL;312920;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Iapu;Coronel Fabriciano;IPATINGA;VALE DO AÇO;312930;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibertioga;Barbacena;BARBACENA;CENTRO SUL;312940;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibiá;Uberaba;ARAXÁ;TRIÂNGULO DO SUL;312950;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibiaí;Pirapora;PIRAPORA;NORTE;312960;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibiracatu;Januária;Brasília de Minas/S. Francisco;NORTE;312965;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibiraci;Passos;CÁSSIA;SUL;312970;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibirité;Belo Horizonte;CONTAGEM;CENTRO;312980;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibitiúra de Minas;Pouso Alegre;POÇOS DE CALDAS;SUL;312990;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ibituruna;São João Del Rei;SÃO JOÃO DEL REI;CENTRO SUL;313000;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Icaraí de Minas;Januária;Brasília de Minas/S. Francisco;NORTE;313005;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Igarapé;Belo Horizonte;BETIM;CENTRO;313010;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Igaratinga;Divinópolis;PARÁ DE MINAS;OESTE;313020;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Iguatama;Divinópolis;FORMIGA;OESTE;313030;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ijaci;Varginha;LAVRAS;SUL;313040;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ilicínea;Varginha;TRÊS PONTAS;SUL;313050;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Imbé de Minas;Coronel Fabriciano;CARATINGA;VALE DO AÇO;313055;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Inconfidentes;Pouso Alegre;POUSO ALEGRE;SUL;313060;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Indaiabira;Montes Claros;TAIOBEIRAS;NORTE;313065;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Indianópolis;Uberlândia;UBERLÂNDIA/ARAGUARI;TRIÂNGULO DO NORTE;313070;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ingaí;Varginha;LAVRAS;SUL;313080;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Inhapim;Coronel Fabriciano;CARATINGA;VALE DO AÇO;313090;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Inhaúma;Sete Lagoas;SETE LAGOAS;CENTRO;313100;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Inimutaba;Sete Lagoas;CURVELO;CENTRO;313110;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ipaba;Coronel Fabriciano;IPATINGA;VALE DO AÇO;313115;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ipanema;Manhuaçu;MANHUAÇU;LESTE DO SUL;313120;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ipatinga;Coronel Fabriciano;IPATINGA;VALE DO AÇO;313130;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ipiaçu;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;313140;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Ipuiúna;Pouso Alegre;POUSO ALEGRE;SUL;313150;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Iraí de Minas;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;313160;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itabira;Itabira;ITABIRA;CENTRO;313170;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itabirinha;Governador Valadares;MANTENA;LESTE;313180;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itabirito;Belo Horizonte;OURO PRETO;CENTRO;313190;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itacambira;Montes Claros;MONTES CLAROS;NORTE;313200;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itacarambi;Januária;JANUÁRIA;NORTE;313210;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itaguara;Divinópolis;ITAÚNA;OESTE;313220;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itaipé;Teófilo Otoni;PADRE PARAÍSO;NORDESTE;313230;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itajubá;Pouso Alegre;ITAJUBÁ;SUL;313240;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itamarandiba;Diamantina;DIAMANTINA;JEQUITINHONHA;313250;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itamarati de Minas;Leopoldina;LEOPOLDINA/CATAGUASES;SUDESTE;313260;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itambacuri;Teófilo Otoni;ITAMBACURI;NORDESTE;313270;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itambé do Mato Dentro;Itabira;ITABIRA;CENTRO;313280;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itamogi;Passos;SÃO SEBASTIÃO DO PARAÍSO;SUL;313290;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itamonte;Varginha;SÃO LOURENÇO;SUL;313300;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Itanhandu;Varginha;SÃO LOURENÇO;SUL;313310;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
